stop_id,stop_lat,stop_lon,stop_name
S1560,5.57625,-0.187973,Flag Staff House
S1562,5.5833,-0.185023,Water Works 221
S1564,5.58773,-0.182789,37 Hospital
S1566,5.5922,-0.180574,License Office
S1568,5.60639,-0.1774,Airport First
S157,5.63777,-0.171356,Puplampu
S1570,5.6282,-0.176514,Shiashie
S1571,5.63787,-0.177464,Okponglo 221
S1572,5.64923,-0.179635,Legon First
S1573,5.6665,-0.177027,Atomic First
S1575,5.67605,-0.173605,Zongo Junction 422
S1579,5.67809,-0.173287,Zongo Junction 422
S158,5.64211,-0.164863,Bawaleshie 2nd
S1580,5.67065,-0.175824,Firestone
S1581,5.66816,-0.177077,Atomic First
S1582,5.66651,-0.177472,Atomic Second
S1583,5.65901,-0.178968,IPS Junction
S1584,5.64848,-0.179969,Legon First
S1585,5.63984,-0.178143,Okponglo 221
S1586,5.62086,-0.176369,Spanner
S1588,5.59125,-0.180975,37 Bus Stop
S1589,5.58766,-0.183011,37 Hospital
S1591,5.57626,-0.188174,Flag Staff House
S1592,5.5734,-0.192669,GBC
S1594,5.57318,-0.201092,Nima Police
S1598,5.58838,-0.19656,Nima Gutter
S1599,5.59209,-0.195451,Maamobi (Kaneshie Station)
S160,5.64235,-0.161912,Baywa
S1600,5.59391,-0.194881,Maamobi Market
S1604,5.5885,-0.196555,Nima Gutter
S1606,5.58635,-0.197146,Alaska
S1608,5.58366,-0.197862,Nima Bola
S1609,5.58183,-0.198438,Nima Overhead Station
S161,5.64527,-0.156198,Selina
S1611,5.57808,-0.20073,Nima Roundabout 274
S1612,5.57359,-0.201511,Nima Police Station 996
S1613,5.57205,-0.205816,Paloma
S1615,5.57097,-0.210403,Equip
S1619,5.61395,-0.296223,NIC
S162,5.64809,-0.150451,American House
S1620,5.62179,-0.298582,Fan Milk Junction
S1621,5.62638,-0.307709,Pentecost Junction
S1622,5.62826,-0.312878,Ablekuma Junction
S1623,5.62938,-0.312421,Ablekuma Park
S1624,5.6318,-0.313953,Ablekuma Pharmacy
S1625,5.63344,-0.315871,New Town 223
S1629,5.63668,-0.319734,Ablekuma Pharmacy
S1630,5.63232,-0.314656,New Town 223
S1632,5.57297,-0.230961,Awudome Roundabout
S1633,5.56554,-0.225344,Cemetery Junction
S1636,5.5554,-0.219121,Overhead 248
S164,5.64565,-0.148685,American House 10th
S1640,5.57716,-0.214512,Multimedia Group
S1643,5.5953,-0.216836,Station 224
S1647,5.56291,-0.213809,Market 156
S1648,5.55791,-0.212641,Roxy
S1649,5.55112,-0.210821,COCOBOD
S165,5.64578,-0.144604,Bridge 256
S1655,5.62682,-0.298089,First Yellow Shop
S1659,5.59157,-0.28721,Awoshie Last Stop
